chamber,title,first_name,last_name,state,party,email,display
Senate,Senator,Penny,Allman-Payne,QLD,AG,senator.allman-payne@aph.gov.au,Senator Penny Allman-Payne
Senate,Senator,Michelle,Ananda-Rajah,VIC,ALP,senator.ananda-rajah@aph.gov.au,Senator Michelle Ananda-Rajah
Senate,Senator,Alexander,Antic,SA,LP,senator.antic@aph.gov.au,Senator Alexander Antic
Senate,Senator,Wendy,Askew,TAS,LP,senator.askew@aph.gov.au,Senator Wendy Askew
Senate,Senator,Timothy,Ayres,NSW,ALP,senator.ayres@aph.gov.au,Senator Timothy Ayres
Senate,Senator,Ralph,Babet,VIC,UAP,senator.babet@aph.gov.au,Senator Ralph Babet
Senate,Senator,Sean,Bell,NSW,PHON,senator.bell@aph.gov.au,Senator Sean Bell
Senate,Senator,Leah,Blyth,SA,LP,senator.blyth@aph.gov.au,Senator Leah Blyth
Senate,Senator,Andrew,Bragg,NSW,LP,blackrod.sen@aph.gov.au,Senator Andrew Bragg
Senate,Senator,William,Brockman,WA,LP,senator.brockman@aph.gov.au,Senator William Brockman
Senate,Senator,Carol,Brown,TAS,ALP,senator.carol.brown@aph.gov.au,Senator Carol Brown
Senate,Senator,Ross,Cadell,NSW,NATS,senator.cadell@aph.gov.au,Senator Ross Cadell
Senate,Senator,Matthew,Canavan,QLD,NATS,senator.canavan@aph.gov.au,Senator Matthew Canavan
Senate,Senator,Michaelia,Cash,WA,LP,senator.michaelia.cash@aph.gov.au,Senator Michaelia Cash
Senate,Senator,Claire,Chandler,TAS,LP,senator.chandler@aph.gov.au,Senator Claire Chandler
Senate,Senator,Anthony,Chisholm,QLD,ALP,senator.chisholm@aph.gov.au,Senator Anthony Chisholm
Senate,Senator,Raffaele,Ciccone,VIC,ALP,senator.ciccone@aph.gov.au,Senator Raffaele Ciccone
Senate,Senator,Richard,Colbeck,TAS,LP,senator.colbeck@aph.gov.au,Senator Richard Colbeck
Senate,Senator,Jessica,Collins,NSW,LP,senator.collins@aph.gov.au,Senator Jessica Collins
Senate,Senator,Dorinda,Cox,WA,ALP,senator.cox@aph.gov.au,Senator Dorinda Cox
Senate,Senator,Lisa,Darmanin,VIC,ALP,senator.darmanin@aph.gov.au,Senator Lisa Darmanin
Senate,Senator,Josh,Dolega,TAS,ALP,senator.dolega@aph.gov.au,Senator Josh Dolega
Senate,Senator,Richard,Dowling,TAS,ALP,senator.dowling@aph.gov.au,Senator Richard Dowling
Senate,Senator,Jonathon,Duniam,TAS,LP,senator.duniam@aph.gov.au,Senator Jonathon Duniam
Senate,Senator,Donald,Farrell,SA,ALP,senator.farrell@aph.gov.au,Senator Donald Farrell
Senate,Senator,Mehreen,Faruqi,NSW,AG,senator.faruqi@aph.gov.au,Senator Mehreen Faruqi
Senate,Senator,Katherine,Gallagher,ACT,ALP,senator.katy.gallagher@aph.gov.au,Senator Katherine Gallagher
Senate,Senator,Varun,Ghosh,WA,ALP,senator.ghosh@aph.gov.au,Senator Varun Ghosh
Senate,Senator,Nita,Green,QLD,ALP,senator.green@aph.gov.au,Senator Nita Green
Senate,Senator,Karen,Grogan,SA,ALP,senator.grogan@aph.gov.au,Senator Karen Grogan
Senate,Senator,Pauline,Hanson,QLD,PHON,senator.hanson@aph.gov.au,Senator Pauline Hanson
Senate,Senator,Sarah,Hanson-Young,SA,AG,senator.hanson-young@aph.gov.au,Senator Sarah Hanson-Young
Senate,Senator,Sarah,Henderson,VIC,LP,senator.henderson@aph.gov.au,Senator Sarah Henderson
Senate,Senator,Steph,Hodgins-May,VIC,AG,senator.hodgins-may@aph.gov.au,Senator Steph Hodgins-May
Senate,Senator,Jane,Hume,VIC,LP,senator.hume@aph.gov.au,Senator Jane Hume
Senate,Senator,Maria,Kovacic,NSW,LP,senator.kovacic@aph.gov.au,Senator Maria Kovacic
Senate,Senator,Jacqui,Lambie,TAS,JLN,senator.lambie@aph.gov.au,Senator Jacqui Lambie
Senate,Senator,Kerrynne,Liddle,SA,LP,senator.liddle@aph.gov.au,Senator Kerrynne Liddle
Senate,Senator,Susan,Lines,WA,ALP,senator.lines@aph.gov.au,Senator Susan Lines
Senate,Senator,Jennifer,McAllister,NSW,ALP,senator.mcallister@aph.gov.au,Senator Jennifer McAllister
Senate,Senator,Malarndirri,McCarthy,NT,ALP,Senator.McCarthy@aph.gov.au,Senator Malarndirri McCarthy
Senate,Senator,Susan,McDonald,QLD,LNP,senator.mcdonald@aph.gov.au,Senator Susan McDonald
Senate,Senator,James,McGrath,QLD,LNP,senator.mcgrath@aph.gov.au,Senator James McGrath
Senate,Senator,Bridget,McKenzie,VIC,NATS,senator.mckenzie@aph.gov.au,Senator Bridget McKenzie
Senate,Senator,Nicholas,McKim,TAS,AG,senator.mckim@aph.gov.au,Senator Nicholas McKim
Senate,Senator,Andrew,McLachlan,SA,LP,senator.mclachlan@aph.gov.au,Senator Andrew McLachlan
Senate,Senator,Corinne,Mulholland,QLD,ALP,senator.mulholland@aph.gov.au,Senator Corinne Mulholland
Senate,Senator,Jacinta,Nampijinpa Price,NT,CLP,senator.nampijinpaprice@aph.gov.au,Senator Jacinta Nampijinpa Price
Senate,Senator,Deborah,O'Neill,NSW,ALP,senator.oneill@aph.gov.au,Senator Deborah O'Neill
Senate,Senator,Matthew,O'Sullivan,WA,LP,senator.matt.o'sullivan@aph.gov.au,Senator Matthew O'Sullivan
Senate,Senator,James,Paterson,VIC,LP,senator.paterson@aph.gov.au,Senator James Paterson
Senate,Senator,Fatima,Payman,WA,AV,senator.payman@aph.gov.au,Senator Fatima Payman
Senate,Senator,Barbara,Pocock,SA,AG,senator.barbara.pocock@aph.gov.au,Senator Barbara Pocock
Senate,Senator,David,Pocock,ACT,IND,senator.david.pocock@aph.gov.au,Senator David Pocock
Senate,Senator,Helen,Polley,TAS,ALP,senator.polley@aph.gov.au,Senator Helen Polley
Senate,Senator,Malcolm,Roberts,QLD,PHON,senator.roberts@aph.gov.au,Senator Malcolm Roberts
Senate,Senator,Anne,Ruston,SA,LP,senator.ruston@aph.gov.au,Senator Anne Ruston
Senate,Senator,Paul,Scarr,QLD,LP,senator.scarr@aph.gov.au,Senator Paul Scarr
Senate,Senator,Devanand,Sharma,NSW,LP,senator.sharma@aph.gov.au,Senator Devanand Sharma
Senate,Senator,Anthony,Sheldon,NSW,ALP,senator.sheldon@aph.gov.au,Senator Anthony Sheldon
Senate,Senator,David,Shoebridge,NSW,AG,senator.shoebridge@aph.gov.au,Senator David Shoebridge
